bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,B,B,C,D,D,D,A,C,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,C,C,C,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D
D,A,D,D,D,D,D,D,D,D,A,D,D,A,A,A,A,A,A,A,A,A
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,A,A,A,A,A,A,D,A,D,D,D,D,D,D,D,D,D,D,D
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,C,C,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,D
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,D,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,E,A,E,A,E,A
D,E,E,E,E,E,E,E,C,E,C,C,C,C,C,C,C,C,C,C,C,C
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,A,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,C,C,E,E,E,E,C,E,C,E,D,D,D,D,D,D,C,D,C
A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,A,B,A,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D
D,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,C,C,C,C,E,D,C,C,E,E,C,C,C
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,E,E,E,E,E,E,E,E,A,E,A,A,A,A,E,E,E,E,A,A
A,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,D,A,A,A,A
D,C,C,D,D,C,D,D,C,C,C,D,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,B,C,C,C,A,C,C,A,C,A,C,A,A,A,C,C,A,C,A,A
C,E,C,C,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,D
D,C,D,D,D,D,D,D,D,D,C,D,D,D,D,D,C,C,C,C,C,C
E,D,D,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,B,E,B,B,E,E
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,C,C,C,D,D,D,C,D,C,D,D,A,A,A,A,A,A,A,A,A
D,B,D,D,E,D,D,D,E,E,E,E,E,A,A,A,E,E,E,E,E,A
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,D,D,D,E,D,E,E,E,E,E,E,E,E,E,E,B,E,E,E,E
B,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A
D,C,D,D,D,C,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,A,B,B,B,B,B,B,A,B,B,B,B,A,B,A,B,A,B,A
B,D,D,D,D,D,D,E,E,D,D,D,E,E,A,D,E,E,D,D,D,D
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,A,D,D,D,D,D,D,D,D,E,D,D,D,E,E,D,D,E,E,E,E
E,D,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,E,D,D,D,D
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,C,C,C,C,C,C,C,D,C,C,C,C,C,D,D,C,D,D,D,D
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,D,C,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,B,B,B,B,B,B,B,B,B,B,B,E,E,E,E,E,E,D,D,E
C,E,E,A,A,D,A,A,A,A,A,A,A,A,A,A,D,A,A,A,A,A
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
A,E,A,C,B,B,C,B,B,C,C,B,B,B,B,B,D,B,B,B,B,D
B,B,B,C,D,D,C,C,C,C,C,C,C,D,D,D,C,C,C,C,C,C
C,C,B,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B
D,E,E,E,D,D,E,D,D,E,D,E,E,E,E,A,A,E,E,A,E,A
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,D
A,E,E,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,B,E,B,B,B,B,B,B,B,B,C,C,C,C,E,C,E,C,E,A,A
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,D,E,D,D,D,D,D,D,D,D,D,D,D
A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A
C,E,C,C,C,C,C,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,C,C,D,C,C,C,C,C,C,D,C,C,C,C,C,D,D,C,C,C
B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,E,E,E,E,E,B,E,E,B,E,E,E,E,E,E,E,B,B,E,B
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,A,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,D,D,C,D,D,D,C,C,D,D,D,D,A,C,D,D,C,C,C,C,C
C,E,A,E,E,C,A,A,A,E,A,B,B,B,B,B,B,B,B,B,B,B
D,B,D,D,D,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C
E,D,D,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D
A,D,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D
C,D,D,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A
D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,E,D,D,D,D,E,D,E,D,D,D,D,D
A,C,C,A,C,C,C,A,C,C,C,C,C,C,C,C,A,D,D,D,D,D
B,D,D,D,D,D,D,D,D,D,D,C,D,D,D,C,D,E,C,D,D,D
C,D,C,C,D,C,D,D,D,D,D,D,D,D,D,D,D,D,A,D,D,A
D,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C
E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D
A,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,B,B,B,B,B,B,B,B,B,B,D,B,B,B,B,B,B,B,B,B
C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,B,E,E,E,E,E,E,E,E,D,D,D,D,B,B,B,B,D,D,D
A,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,E,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,C,C,E,E
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A
D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D
D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B
B,D,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,B,A
C,A,A,C,C,C,C,C,C,D,D,D,A,D,A,D,A,A,A,A,A,A
D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,E,E,E,A,A,C,A,A,A,E,A,A,A,A,A,A,C,A,A
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C,C
B,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A
C,E,E,C,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,C,C,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C
E,B,B,E,E,E,E,E,E,E,E,E,E,D,D,A,D,D,A,A,A,E
A,D,D,D,D,D,D,D,D,B,D,D,D,D,D,D,D,D,B,D,D,D
B,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,C,D,D,D,D,D,D,D,D,C,D,D,D,D,C,D,D,D,D,C,C
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,C,A,C,A,A,A,E,E,E,A,E,E,E,E,E,E,E,E,E,E
B,D,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A
C,D,D,D,C,D,D,A,C,D,D,D,D,A,A,A,A,D,D,D,D,A
D,C,C,D,C,C,D,D,C,C,C,D,C,C,C,C,C,C,C,C,C,D
E,D,E,E,E,E,E,E,E,E,E,E,D,D,E,E,E,E,E,E,E,E
A,D,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D
C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D
A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,C,B,B,B,B,B,B,B,B,A,C,A,A,C,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,C,E,E,E,E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,E,E,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,D,D
C,A,A,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,D,D,A,A,D
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D
A,D,C,C,C,C,B,B,A,C,C,C,B,B,C,C,C,C,C,C,B,B
B,E,B,B,B,B,B,B,B,B,E,E,E,E,E,E,E,E,E,E,E,E
C,A,A,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A
D,C,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A,A
E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D
A,E,E,E,C,C,E,E,E,E,E,E,E,B,E,E,E,E,E,E,E,E
B,C,C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,D,B
D,A,D,D,D,D,D,D,D,D,E,D,D,D,A,A,A,A,A,A,D,A
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,E,E,E,A
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A
C,D,A,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,C,A
C,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,E,E,D,D,E,D,D,E,D,D,D,E,D,E,E,E,E,E,E,E,E
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E
A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
