bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
B,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A
D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,D
E,J,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,A,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,A,G,G,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,J,J,C,J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,C,C,C,C,C,I,I,I,I,I,I,I,C,C,C,F,F,F,F
G,F,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,G,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,B,F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,F
C,B,C,C,C,B,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C
D,F,F,F,F,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,C,C,C,C,C,C,C,C,E,E,E,E,E,E,E,E,C,E,E,E,E
F,A,F,F,F,F,F,F,F,F,F,F,A,A,A,A,A,A,A,A,A,A
G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,F,F,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,F,J,F,F,F,F
D,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,H,H,H,H,H,H,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E
F,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D,D,F,F,F,F,F
G,H,A,H,H,C,H,C,C,C,C,C,C,A,C,C,A,H,A,C,C,C
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,B,B,B,B,B,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,B
D,E,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,F,F,F,F,F,F,F,F,F,H,F,F,F,H,H,H,H,H,H,H,H
I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,I,I
J,D,D,D,D,D,D,D,D,D,D,D,D,D,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,H,I,I,I,I,I,I,I,I,I,I,I,I,C,I,I,I,I,I,I,I
D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,B,B,B,B,B,B,B,B,B,G,G,G,B,G,G,G,B,G,G,G,G
H,F,F,F,F,F,F,F,F,F,H,F,F,F,F,F,F,F,F,F,H,H
I,F,F,F,F,F,F,F,F,F,I,F,B,B,B,B,B,B,I,B,B,B
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,C,E,C,C,C,C,C,C,C,C,C,B,B,B,B,B,B,C,B,B
C,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,I,I,I,I,I,I,I,I,I,E,I,I,I,I,I,I,I,I,I,E,I
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,H,E,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,D,D,D,J,J,J,D,D,D,D,D,D,D,D,D,D,J,J,J,J,J
A,I,I,I,I,I,I,B,B,B,I,B,I,I,I,I,I,I,I,I,I,I
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,C,D,C,C,D,D,C,C,D,C,D,D,D,D
D,G,D,D,F,D,D,D,D,G,D,D,G,D,D,D,D,D,D,D,D,D
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,C,C,C,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,A,G,A,A,G,A,A,A,A,A,A,A,A,A,A,A,G,G,G,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,H,H,H,H,H,H
I,A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,G,G,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,G,G,G,G,G,G,B,B,G,B,B,B,B,G,G,G,G,G,G,G,G
H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,A,A,G,G
D,H,H,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,C,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,F,F,E,F,E,E,E,E,E,F,F,F,F,F,F
G,H,H,H,H,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,I,I,I,I,I,I,I
J,B,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,B,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,C,C,C,C,C,C,C,C,C,C,C,C,C,A,D,D,C,C,C,C,C
C,J,J,J,J,J,I,J,I,I,I,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,H,H,H,H,E,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,H,H,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,F,F,F,F,F,F,H,F,G,G,G,G,G,G,G,G,G,G,G,G,G
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,D,D,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,D,D,D,D
C,F,F,F,F,F,F,F,F,F,F,F,F,F,C,C,F,F,F,C,F,F
D,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,J,J,J,J,J,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A
F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
G,J,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,H,H,H,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J
A,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,A,E,E,E,E,E,E,E
C,J,J,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,B,B,B,B,B,B,D,D,B,B,D,D,D,D,D,D,D,D,B,B,B
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,G,B,B,B,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,F,F,F,H,F,H,H,F,F,F,F,F,F,H,F,H,H,H,H,H,H
I,A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,A,A,J,J,J,J,J,J,J,A,A,J,A,A,A,A,A,J,J,A,J
A,D,D,D,B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A
D,B,B,B,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,F,F,E,E,F,F,E,E,E,E,E,E,E,E,H,E,H,H,H,H,H
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J
A,F,A,A,A,F,F,B,A,D,D,A,A,A,A,A,F,A,A,A,F,A
B,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F
D,G,G,G,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,E,E,G,E,G,G,E,E,E,E,E,E,E,E,G,G,G,G,G,G
H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H
I,H,H,H,H,H,H,H,H,H,H,H,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,J,J,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
D,H,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,B,B,B,B,B,B,B,B,B,I,I,I,I,I,I,I,I,I,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,J,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,B,B
D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,E,E,E,H,E,E,E,E,E,E,E,E,E,E,E,E,H,H,H,H
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,B,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B
C,G,G,G,G,G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,H,H,H,H,H,H,F,F,F,F,F,F,F,F,F,F,F,F,F
G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,A,A,C,A,A,C,C,C,A,C,C,C,A,C,C,A,A,A,A,A,A
D,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,G,G,G,G,G,G,E,G,E,G,G,G,G,G,G,G,G,G,E,G,G
F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,A,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H
I,F,I,I,C,I,C,I,C,C,I,I,I,I,I,I,I,I,I,I,I,I
J,A,A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,E,E,E,E,E,E,E,E,E,E,E,E,E,C,E,C,E,E,E,E,E
D,G,G,G,G,G,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,E,E,E,D
F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,G,G,G,B,G,G,G,B,G,B,B,B,G,G,G,G,G,G,G,G,G
H,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,C,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,E,E,E,E,E,E,E,E,B,B,B,B,B,B,B,A,B,A,B
C,I,I,I,I,I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,E,F,F,F,E,E,E,E,E,E,E,F,F,F,E,E
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,J,J,J,J,J
A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,F,F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,F,F,F,F,F,E,E,E,E,F,F,F,E,E,E,E,E,E,E
F,D,D,D,D,D,D,F,D,D,F,F,D,F,F,D,D,D,D,F,D,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,H,H,D,H,H,D,D,D,D,D,D,B,B,B,H,H,H,H,H,H,H
E,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,C,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,G,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,G,G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,F,F,F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,H,H,C,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,J,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,A,A,A,B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
