bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
H,J,J,J,J,J,J,H,H,H,J,J,J,H,J,G,G,G,J,J,J,J
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
A,J,J,J,J,J,I,I,I,J,J,J,A,J,J,J,J,J,J,J,J,I
B,C,I,I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,E,C
D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
E,D,E,E,D,D,E,E,E,D,E,D,D,D,D,D,D,D,D,D,E,E
F,H,J,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,I,E,I,I
H,J,H,H,H,H,F,H,F,F,F,F,F,F,F,F,F,F,F,F,F,F
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,E,I,E,E,E,J,E
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,B,B,B,B,B,B,B,B,E,B,B,B,B,B,E,B,B
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,H,G,G,G,G,G,G,G,G,G,G,G,H,J,H,H,J,G,H,H,H
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,H,H,H,H,H,H,H
J,E,J,J,J,J,J,J,E,E,E,J,E,E,E,E,E,E,J,J,J,J
A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A
C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
D,H,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,E,E,E,E,E,E,E,E,E,C,E,E,E,E,E,E,E,E,E
F,I,F,J,J,F,J,F,F,F,J,I,E,E,E,E,E,E,E,E,I,E
G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,D,H,H,D,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,D,D
I,J,I,I,I,I,I,I,I,I,I,I,I,I,E,E,I,E,E,I,I,J
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,I,I,B,G,A,G,B,G,G,G,G,G,G,G,G,G,G,G,G
B,D,D,D,D,D,D,D,D,D,A,A,A,D,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,E,D,E,E,E,D,D,D,D,E,E
D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,J,J,G,G,J,D,G,J,J,J,J,J,J,J,J,J,I,J,J,D
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,J,H,H,H,H,H,H,H,H,H,J,J,J,J,J,J,J,J,J,J,J
I,E,I,I,I,I,I,I,I,J,J,J,J,J,J,J,J,J,J,J,J,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,H,H,D,H,D,H,B,B,B,H,B,B,H,E,D,B,B,H,B
B,E,E,E,E,E,E,H,E,E,E,E,E,E,E,E,E,E,E,A,B,A
C,E,E,E,E,E,E,C,C,C,C,E,C,E,E,C,A,C,C,C,A,A
D,E,E,E,E,E,D,D,D,E,D,D,D,D,D,D,D,D,E,D,D,D
E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
F,D,G,G,G,G,G,G,A,G,G,G,F,F,F,E,E,E,E,C,C,C
G,E,E,E,E,G,E,D,E,E,E,E,E,D,D,E,D,E,E,E,E,E
H,H,H,H,H,H,H,H,E,E,E,H,E,E,E,E,E,E,E,E,E,E
I,E,I,E,E,E,J,E,J,J,J,E,E,J,E,E,E,E,E,E,E,E
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,E,J,J,J
A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,F,H,H,H,H,H
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,D,F,D,D
G,J,D,J,G,G,G,G,D,G,D,D,D,G,D,D,D,D,D,D,G,D
H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
I,H,H,I,I,I,H,I,H,H,I,I,I,H,I,I,H,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,F,F,F,D,E,F,F,F,D,D,D,D,D,D,E,D,E,E
B,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
G,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,F,F,F
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,G,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,H,C,C,C,A,A,A,A,A,A,A,A,C,A,C,C,C,C,A
B,D,G,G,G,A,A,G,A,A,G,A,A,A,A,A,A,G,A,A,A,A
C,H,H,H,H,A,A,H,A,A,A,A,H,A,A,A,H,H,H,A,A,H
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G,J,J,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,J,E,J
H,E,H,E,H,H,H,H,H,H,H,E,E,E,E,E,E,E,E,E,E,E
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,F,F,F,F,F,F,F,A,F,F,F,B,A,A,A,A,B,F
B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
C,J,J,J,J,J,F,F,J,J,F,J,J,J,F,J,J,J,J,J,J,F
D,I,D,D,D,D,D,D,D,J,J,J,J,B,D,B,B,B,B,B,B,B
E,F,E,E,E,F,F,E,E,E,E,F,F,F,F,F,F,E,E,F,F,F
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E,E,E
G,C,G,G,G,G,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
H,J,H,H,H,H,H,H,H,H,H,E,H,E,E,E,E,B,E,E,E,E
I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,J,J,J,J,J,J,J,C,J,C,C,C,C,C,B,C,C,A,C,C,C
C,H,H,H,H,H,H,H,H,H,H,H,J,J,A,H,J,F,B,H,A,A
D,J,J,I,I,I,J,I,I,I,I,J,I,I,J,I,I,I,I,I,I,I
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,H,H,D,H,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,J,H,H,J,J,H,H,H,H,H,J,J,J,H,H,H,J,H,H,H,J
I,E,E,E,J,J,E,E,E,E,J,E,J,J,J,J,J,J,J,J,J,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,J,A,E,B
B,H,H,H,H,D,H,C,C,C,A,B,B,A,B,D,D,D,A,A,A,A
C,E,E,C,C,C,C,C,C,C,C,C,E,E,B,C,B,B,B,E,E,E
D,E,E,E,D,E,E,E,E,E,E,E,E,D,E,D,E,E,E,E,A,I
E,D,E,E,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,F
H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,I,I,I
A,E,E,D,H,A,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,G,G,D,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,F,F,H,H,F,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H
G,G,G,G,G,G,G,G,G,G,G,G,G,G,I,I,G,G,G,G,G,I
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,E,J,J
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
C,E,I,E,E,I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,I,I,I,I,I,I,I,I,D,D,I,I,D,D,D,D,D,I,I,D,I
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
G,J,F,F,F,F,J,F,F,J,F,F,J,F,F,F,J,J,F,F,F,F
H,E,H,H,H,H,H,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,H,I,I
J,D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,F,F,F,F,F,F,F,F,D,F,F,F,F,F,F,F,F,D,F
G,F,G,G,G,G,G,G,G,G,G,G,G,G,G,F,F,F,F,F,F,F
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,J,J
I,E,E,I,I,E,I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,H,H,F,J,H,H,J,H,H,H,H,H,H,H,H,H,H,H,J,H,H
A,H,H,G,G,G,H,A,A,G,G,A,A,A,A,A,A,A,A,A,A,E
B,J,G,G,G,G,G,G,E,C,E,B,E,E,B,E,E,E,B,E,E,G
C,I,I,I,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C
D,E,D,D,D,E,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D,D,D
F,J,I,I,I,I,I,F,F,F,I,F,I,I,F,I,F,I,I,I,I,I
G,H,H,H,H,H,H,H,E,H,G,G,H,H,H,E,E,E,E,E,E,E
H,G,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
I,E,I,I,I,I,I,I,I,I,J,I,J,J,J,J,J,J,J,J,J,J
J,D,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,H,H,H,H,H,H,C,H,F,H,F,H,H,B,F,H,F,F,H
B,B,B,B,B,C,C,H,C,E,A,A,A,C,A,A,A,E,A,A,A,A
C,I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,I,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,D,D,D,D,D
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,J,E
F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
D,I,D,I,I,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I,I
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,B,B,F,B,B,B,B,B,B
G,F,G,G,G,G,G,G,G,G,G,G,G,G,F,F,G,G,F,G,F,F
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,E,E,E,I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,C,J,J,J,J,J,J,J,J,J,J,J,D,J,J,J,J,J,J,J,I
A,J,F,F,F,A,J,A,A,A,A,A,A,A,J,J,J,J,J,J,J,J
B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,D,D,D,D,D,D,D,C,D,D,C,A,A,D,A,A,A,A,A,C,D
D,H,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,F,D
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,E,E,H,E,E,H,H,E,E,E,E,E,E,E,H,E,H,H,H
G,I,H,H,H,H,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G
H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
J,H,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,J,J,J,J,J,J,J,J,E,E,J,J,J,J,J,J,J,J,E,J
B,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,D,D,D,D,C,C,C,C,C,C,C,D,D,D,D,G,G,G,D,D,G
D,D,D,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D
E,C,E,E,E,E,E,E,E,E,E,C,E,E,C,C,E,C,C,C,C,E
F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,E,E,E,E,E
G,I,I,I,I,I,I,I,I,I,I,I,G,I,D,D,D,D,D,D,J,D
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,I,I,I,I,I,I,I,I,I,I,I,J,C,C,I,I,J,C,E,C
J,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,H,H,H,H,H,H,H,H,H,H,H,H,H,E,E,E,H,H,H,H,H
D,F,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,I,G,I,I,I,I,I,I,I,F,I,I,I,I,I,I,I,I,I,I
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,F,J
I,C,I,I,I,I,I,I,I,I,I,I,I,C,C,C,C,C,C,C,C,J
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,J,J,J,J
A,J,J,J,J,J,J,A,J,J,J,J,E,J,J,J,J,J,J,J,J,E
B,J,J,J,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,E
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,J,J,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,F,I,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,J,J,J,J,J,G,G,G,G,G,G,G,J,J,J,G,G,J,J,J,J
H,E,H,E,E,G,G,G,G,E,G,G,G,G,G,G,E,G,G,G,G,G
I,D,J,D,D,D,D,J,J,D,D,D,D,D,D,J,J,J,D,D,J,J
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,F,F,E,F,E,F,F,E,F,F,F,F,E,E,E,E,E,E,E,F,F
C,E,C,E,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,A,A
D,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,F,F,F,F,F,F,F,F,F,F,F,F,F,H,F,H,H,H,H
G,F,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,H,H,E,H,E,E,E,H,E,E,E,E,E,E,E,E,E,E,E,E
I,G,I,I,I,I,I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
J,F,F,F,J,J,J,J,J,J,J,J,F,J,J,F,F,F,F,F,J,F
A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,J,E,J
B,F,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,I,I,I,I,I,I,I,C,F,F,C,F,F,F,F,F,F,F,F,F,F
D,J,I,I,I,I,I,J,I,J,I,I,J,J,J,J,I,J,J,D,D,I
E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,A,A,A,A,A,A,F,F,F,F,F,A,A,A,A,F,A,A,A,A,A
G,E,D,D,D,D,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,D,D,D,B,B,D,B,D,H,B,H,B,B,B,B,B,B,B
B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
C,F,F,F,D,F,F,D,C,D,F,F,C,C,F,F,F,F,F,F,F,F
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,E,F,E,E,E,E,E,E,E,E,E,E,E,E
G,F,F,G,G,G,G,F,G,F,G,G,F,F,F,F,F,F,G,F,F,F
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,J,I,I,J
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,E,E,E,E,E,E,E,E,A,A,A,E,E,E,E,E,E,A,E,E
B,D,D,D,E,D,D,D,D,D,D,D,D,D,D,E,E,E,D,E,D,D
C,J,D,I,J,I,I,I,J,F,J,J,D,I,I,J,I,I,I,I,J,J
D,E,E,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,H,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,H,H,H,H,H,H,H,H,H,H,H,F,E,H,H,H,F,H,H,H,H
I,J,J,J,J,J,I,F,J,F,J,J,J,J,J,J,J,J,J,F,J,J
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A
D,I,D,D,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,C,E
F,I,I,I,I,I,I,I,I,I,F,F,F,F,I,F,I,F,I,I,I,F
G,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
I,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
J,H,J,J,J,J,J,J,H,H,J,H,J,J,J,J,J,J,H,J,J,J
A,I,I,I,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,D,D,E,E
C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,H,H,J,J
A,J,J,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,J,J,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,F,F,C,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,C,C
D,H,H,D,D,H,H,H,H,D,H,H,H,H,H,H,H,D,D,D,H,H
E,J,J,J,J,J,J,E,E,E,E,E,E,E,J,J,J,J,J,J,J,J
F,D,D,D,D,D,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,J,J,J,D,D,D,D,J,D,D,D,D,D,D,J,D,J,D,J,J,D
I,J,I,I,I,I,I,I,I,I,I,I,J,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,D,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
B,H,H,B,B,B,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H
C,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
D,F,E,E,E,E,E,E,E,E,E,F,E,F,F,E,E,E,E,E,H,F
E,D,D,D,D,D,D,D,D,D,D,E,D,D,E,D,E,E,E,E,E,E
F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
